Shipment_ID,Region,Transport_Mode,Priority,Distance_km,Shipment_Volume_units,Weight_kg,Delivery_Time_days,Transport_Cost_INR,Delayed,Delay_Days
SHP-0065,East,Rail,Standard,178.3,28.2,30.0,5.8,1401.0,Yes,0.0
SHP-0066,East,Rail,Express,392.5,28.4,41.4,7.99,2299.0,Yes,0.0
SHP-0067,East,Rail,Standard,540.4,26.2,23.1,8.68,1638.0,No,1.29
SHP-0068,South,Road,Standard,523.4,25.1,45.8,4.82,2516.0,Yes,0.0
SHP-0069,North,Road,Standard,996.6,16.8,17.3,6.48,3452.0,No,2.21
SHP-0070,South,Road,Standard,421.4,31.0,30.0,5.34,1908.0,No,6.29
SHP-0071,North,Road,Express,858.1,19.6,30.1,7.47,4116.0,Yes,0.0
SHP-0072,South,Rail,Standard,360.8,15.4,22.6,6.96,1138.0,No,0.65
SHP-0073,West,Road,Standard,580.5,16.9,20.5,7.01,1661.0,Yes,0.0
SHP-0074,North,Rail,Express,382.3,61.0,87.9,6.68,2653.0,No,3.72
SHP-0075,North,Air,Express,513.9,7.7,6.6,1.79,5409.0,Yes,0.0
SHP-0076,South,Road,Standard,424.5,26.4,39.4,4.43,1993.0,Yes,0.0
SHP-0077,South,Air,Standard,286.5,8.0,7.9,2.61,2805.0,Yes,0.0
SHP-0078,East,Road,Standard,524.4,18.9,18.8,5.92,2462.0,Yes,0.0
SHP-0079,East,Air,Standard,602.8,15.8,13.5,3.36,5043.0,No,2.73
SHP-0080,West,Road,Standard,665.1,6.4,6.8,5.75,1592.0,Yes,0.0
SHP-0081,East,Road,Standard,486.7,24.9,26.5,6.15,2862.0,No,3.67
SHP-0082,South,Road,Express,92.9,16.3,19.8,3.62,1396.0,Yes,0.0
SHP-0083,West,Road,Express,539.5,6.3,5.6,4.96,2251.0,No,2.45
SHP-0084,North,Road,Express,199.8,31.9,28.4,4.07,2119.0,Yes,0.0
SHP-0085,North,Air,Express,473.9,44.2,58.7,1.18,6014.0,No,2.95
SHP-0086,North,Rail,Express,512.4,45.6,37.0,6.61,2743.0,Yes,0.0
SHP-0087,East,Road,Express,137.1,24.5,37.0,5.08,2115.0,Yes,0.0
SHP-0088,South,Road,Express,437.5,20.6,37.7,5.47,2288.0,Yes,0.0
SHP-0089,North,Road,Standard,168.1,41.7,49.4,3.88,1862.0,Yes,0.0
SHP-0090,East,Road,Standard,88.9,50.7,90.0,4.92,1598.0,Yes,0.0
SHP-0091,North,Air,Standard,165.7,37.5,29.0,1.18,2111.0,Yes,0.0
SHP-0092,East,Road,Standard,405.6,12.0,8.4,4.82,1337.0,Yes,0.0
SHP-0093,South,Road,Standard,391.4,22.4,34.8,6.08,737.0,Yes,0.0
SHP-0094,South,Road,Standard,319.7,25.6,41.0,3.75,1807.0,No,2.31
SHP-0095,South,Road,Standard,589.5,7.4,12.6,6.76,1882.0,Yes,0.0
SHP-0096,East,Road,Standard,377.9,26.0,18.7,5.41,2162.0,Yes,0.0
SHP-0097,South,Rail,Standard,543.6,70.1,113.7,7.9,2410.0,No,1.34
SHP-0098,North,Rail,Express,661.6,28.6,32.0,8.19,3224.0,Yes,0.0
SHP-0099,North,Air,Express,1400.0,45.2,46.5,3.14,14044.0,No,4.11
SHP-0100,West,Rail,Standard,409.7,22.2,19.2,6.74,1850.0,No,1.61
SHP-0101,West,Road,Standard,827.8,19.3,36.6,7.52,3078.0,Yes,0.0
SHP-0102,East,Rail,Standard,495.5,24.8,18.1,8.24,1793.0,No,5.1
SHP-0103,South,Air,Express,512.1,12.8,21.6,0.5,4966.0,Yes,0.0
SHP-0104,West,Rail,Express,412.9,11.8,17.1,6.45,1914.0,Yes,0.0
SHP-0105,West,Air,Standard,471.0,40.3,63.2,3.21,5006.0,Yes,0.0
SHP-0106,East,Rail,Express,380.0,42.7,65.8,8.01,1801.0,Yes,0.0
SHP-0107,South,Air,Standard,747.8,11.6,20.1,3.11,6274.0,Yes,0.0
SHP-0108,South,Road,Standard,277.8,34.2,30.1,3.98,1772.0,Yes,0.0
SHP-0109,North,Rail,Express,164.7,19.1,12.5,5.63,1344.0,Yes,0.0
SHP-0110,West,Road,Standard,313.4,24.2,33.9,5.64,1757.0,Yes,0.0
SHP-0111,South,Road,Standard,293.7,25.9,28.3,5.47,1075.0,Yes,0.0
SHP-0112,North,Rail,Standard,313.3,34.7,27.9,7.44,633.0,No,0.5
SHP-0113,South,Air,Standard,400.3,21.0,18.6,2.34,4360.0,Yes,0.0
SHP-0114,East,Air,Express,314.0,43.6,46.4,1.44,4917.0,Yes,0.0
SHP-0115,North,Road,Express,396.9,23.8,17.6,4.07,2175.0,Yes,0.0
SHP-0116,West,Rail,Standard,314.6,28.3,20.4,5.43,1380.0,Yes,0.0
SHP-0117,West,Rail,Standard,550.1,12.7,22.8,8.35,1881.0,No,0.75
SHP-0118,East,Road,Express,1400.0,65.8,68.5,8.87,7196.0,No,2.58
SHP-0119,South,Road,Standard,489.8,26.0,48.8,6.1,2567.0,Yes,0.0
SHP-0120,East,Road,Express,322.3,29.7,55.2,3.59,2876.0,Yes,0.0
SHP-0121,East,Rail,Standard,94.0,8.3,6.9,6.53,500.0,No,3.41
SHP-0122,East,Road,Standard,1156.4,12.8,19.7,10.14,3787.0,No,1.94
SHP-0123,North,Air,Express,505.7,39.7,55.6,1.48,6224.0,No,5.22
SHP-0124,South,Road,Standard,394.9,23.5,35.6,5.27,2016.0,Yes,0.0
SHP-0125,North,Air,Standard,97.1,7.0,5.4,1.87,897.0,Yes,0.0
SHP-0126,South,Road,Standard,407.1,35.6,31.5,6.89,2647.0,Yes,0.0
SHP-0127,South,Rail,Standard,468.7,14.9,11.1,6.9,1376.0,No,2.12
SHP-0128,North,Road,Standard,315.3,43.7,61.3,5.17,1546.0,Yes,0.0
SHP-0129,North,Road,Standard,184.3,19.1,36.0,3.91,1619.0,Yes,0.0
SHP-0130,East,Rail,Express,176.9,22.5,33.5,5.27,1364.0,Yes,0.0
SHP-0131,North,Air,Express,1166.8,38.4,59.1,2.33,12090.0,No,6.55
SHP-0132,West,Rail,Standard,460.9,12.3,23.1,8.64,1187.0,No,1.78
SHP-0133,East,Road,Standard,315.1,11.6,17.4,6.71,1336.0,Yes,0.0
SHP-0134,South,Road,Express,445.0,18.0,12.6,5.05,1553.0,Yes,0.0
SHP-0135,East,Road,Express,427.5,31.7,54.9,4.71,3116.0,No,1.37
SHP-0136,North,Road,Standard,171.6,9.7,10.7,6.33,558.0,Yes,0.0
SHP-0137,West,Rail,Standard,720.0,8.0,5.3,8.67,1900.0,No,1.03
SHP-0138,South,Rail,Standard,388.8,31.6,40.6,6.82,1641.0,No,5.76
SHP-0139,West,Rail,Standard,464.5,14.4,26.3,6.31,1332.0,Yes,0.0
SHP-0140,North,Air,Standard,950.6,16.2,15.7,3.91,9353.0,No,1.95
SHP-0141,South,Rail,Standard,187.7,7.2,9.1,6.91,500.0,Yes,0.0
SHP-0142,South,Rail,Express,269.1,13.8,12.0,7.63,2036.0,Yes,0.0
SHP-0143,West,Road,Express,521.4,20.0,14.4,3.96,2633.0,Yes,0.0
SHP-0144,East,Road,Express,712.0,33.5,25.2,7.18,4161.0,No,4.24
SHP-0145,South,Rail,Standard,297.6,13.1,20.5,6.82,909.0,Yes,0.0
SHP-0146,South,Air,Standard,307.9,50.0,86.5,2.54,4318.0,Yes,0.0
SHP-0147,South,Road,Express,619.7,13.8,11.4,4.15,2553.0,Yes,0.0
SHP-0148,East,Road,Express,1355.9,13.8,13.9,9.67,4728.0,Yes,0.0
SHP-0149,South,Rail,Standard,453.6,46.8,41.8,8.18,1626.0,Yes,0.0
SHP-0150,North,Road,Express,268.6,22.6,15.4,4.0,2201.0,No,2.09
SHP-0151,West,Road,Standard,223.2,14.8,19.9,5.14,1100.0,No,2.0
SHP-0152,West,Air,Express,399.6,18.4,28.1,0.7,4971.0,Yes,0.0
SHP-0153,North,Rail,Standard,693.6,42.3,61.7,8.42,2773.0,Yes,0.0
SHP-0154,East,Road,Standard,1400.0,45.0,51.1,9.19,4733.0,No,1.89
SHP-0155,North,Air,Standard,361.1,12.8,17.2,0.63,3145.0,No,1.8
SHP-0156,East,Road,Standard,454.1,19.6,15.1,6.54,1252.0,Yes,0.0
SHP-0157,South,Air,Standard,1057.7,21.1,17.8,3.9,10416.0,No,0.75
SHP-0158,East,Road,Standard,516.4,11.7,21.2,5.61,1968.0,No,4.64
SHP-0159,East,Road,Standard,491.8,19.5,31.2,6.3,2263.0,Yes,0.0
SHP-0160,West,Road,Express,943.9,20.1,36.3,6.43,3474.0,Yes,0.0
SHP-0161,North,Road,Standard,460.3,37.6,67.5,5.82,2707.0,Yes,0.0
SHP-0162,West,Air,Standard,234.5,39.0,57.0,1.36,3163.0,Yes,0.0
SHP-0163,North,Road,Express,836.6,16.8,30.3,5.56,3607.0,No,1.63
SHP-0164,North,Road,Standard,154.6,17.9,20.9,5.18,1289.0,Yes,0.0
SHP-0165,East,Road,Standard,758.1,28.9,18.9,7.02,4234.0,No,2.45
SHP-0166,South,Rail,Express,433.3,14.6,10.6,8.2,1536.0,No,0.65
SHP-0167,West,Rail,Express,363.4,27.8,21.8,6.35,1576.0,Yes,0.0
SHP-0168,West,Air,Standard,357.8,19.1,14.7,1.32,3080.0,Yes,0.0
SHP-0169,South,Road,Express,398.7,11.8,12.8,5.45,2745.0,Yes,0.0
SHP-0170,West,Road,Standard,332.7,11.9,18.1,5.55,1686.0,No,2.14
SHP-0171,South,Road,Standard,560.0,44.5,72.9,6.5,2732.0,Yes,0.0
SHP-0172,East,Road,Express,339.7,18.4,25.6,5.55,2384.0,Yes,0.0
SHP-0173,South,Air,Standard,123.1,49.5,41.2,1.19,2411.0,Yes,0.0
SHP-0174,West,Rail,Express,435.2,15.1,24.0,6.6,2146.0,Yes,0.0
SHP-0175,North,Road,Standard,118.8,23.6,25.8,4.13,993.0,Yes,0.0
SHP-0176,North,Road,Express,433.5,74.9,49.9,3.7,3711.0,Yes,0.0
SHP-0177,South,Air,Standard,328.7,11.2,11.2,1.77,3449.0,Yes,0.0
SHP-0178,West,Road,Standard,726.7,7.1,7.5,7.6,2207.0,Yes,0.0
SHP-0179,West,Road,Standard,372.4,40.8,40.5,5.41,2451.0,Yes,0.0
SHP-0180,West,Road,Standard,667.6,12.7,21.2,5.36,2427.0,Yes,0.0
SHP-0181,West,Road,Express,625.0,19.9,31.8,4.24,3313.0,No,4.93
SHP-0182,West,Road,Standard,634.8,14.6,22.1,7.49,2880.0,No,2.18
SHP-0183,East,Road,Standard,380.2,23.3,19.2,5.54,2007.0,Yes,0.0
SHP-0184,South,Road,Standard,450.2,11.9,19.8,5.05,2075.0,Yes,0.0
SHP-0185,West,Rail,Standard,551.5,18.2,27.2,7.9,1479.0,Yes,0.0
SHP-0186,East,Road,Express,458.3,25.7,23.0,4.0,2608.0,No,0.58
SHP-0187,South,Road,Standard,372.8,11.5,16.8,6.3,1764.0,Yes,0.0
SHP-0188,North,Air,Express,247.7,13.7,17.1,0.76,3316.0,Yes,0.0
SHP-0189,West,Rail,Standard,438.2,16.6,19.9,8.53,777.0,Yes,0.0
SHP-0190,South,Road,Standard,165.1,9.2,7.2,4.47,634.0,No,4.23
SHP-0191,West,Road,Standard,113.7,15.9,20.7,5.31,860.0,Yes,0.0
SHP-0192,North,Air,Standard,214.1,21.4,16.6,2.0,2139.0,No,3.17
SHP-0193,North,Road,Express,630.6,16.1,13.8,6.07,3657.0,Yes,0.0
SHP-0194,West,Road,Express,497.6,17.3,14.1,5.45,2653.0,No,6.72
SHP-0195,North,Air,Express,634.2,19.9,36.6,2.07,7119.0,No,1.95
SHP-0196,North,Road,Standard,284.0,14.0,14.1,5.15,1433.0,No,0.86
SHP-0197,East,Rail,Standard,769.0,29.4,32.1,9.42,2192.0,Yes,0.0
SHP-0198,West,Road,Standard,177.0,44.2,46.6,5.92,1266.0,Yes,0.0
SHP-0199,North,Rail,Standard,219.1,15.6,27.6,5.67,816.0,Yes,0.0
SHP-0200,South,Road,Express,761.4,26.2,35.5,5.93,3744.0,No,1.85
SHP-0201,West,Road,Standard,477.0,17.6,31.7,5.65,1644.0,Yes,0.0
SHP-0202,West,Road,Standard,636.4,24.6,25.2,6.55,2216.0,No,5.59
SHP-0203,East,Road,Express,498.8,47.5,37.7,4.95,2988.0,Yes,0.0
SHP-0204,North,Air,Standard,308.7,26.6,35.7,2.18,3671.0,Yes,0.0
SHP-0205,North,Road,Standard,203.4,7.6,8.2,4.46,1064.0,Yes,0.0
SHP-0206,North,Road,Standard,131.2,25.8,42.6,3.12,992.0,Yes,0.0
SHP-0207,North,Rail,Standard,1108.5,39.6,69.2,11.04,3849.0,Yes,0.0
SHP-0208,East,Rail,Standard,151.0,17.8,22.1,5.52,914.0,Yes,0.0
SHP-0209,North,Road,Standard,925.9,34.7,64.7,6.06,2755.0,No,0.79
SHP-0210,East,Road,Standard,461.9,13.7,18.4,6.03,1697.0,No,2.72
SHP-0211,East,Air,Express,507.7,8.9,8.8,2.14,5637.0,No,3.34
SHP-0212,East,Rail,Express,488.7,21.7,27.4,7.72,1560.0,Yes,0.0
SHP-0213,North,Rail,Standard,591.6,7.6,5.3,8.74,1303.0,Yes,0.0
SHP-0214,West,Air,Standard,267.6,17.6,29.1,0.5,3571.0,Yes,0.0
SHP-0215,East,Rail,Standard,105.0,40.8,31.7,5.08,1362.0,No,3.75
SHP-0216,West,Road,Standard,304.8,7.0,7.3,6.45,1150.0,Yes,0.0
SHP-0217,North,Road,Standard,563.3,9.9,13.5,5.18,1573.0,Yes,0.0
SHP-0218,North,Road,Standard,220.4,11.4,8.0,5.11,1599.0,Yes,0.0
SHP-0219,West,Rail,Standard,779.7,19.4,14.5,8.79,2024.0,Yes,0.0
SHP-0220,South,Air,Standard,403.0,16.4,25.0,2.14,4071.0,No,0.78
SHP-0221,South,Road,Standard,208.0,43.4,32.1,4.13,2147.0,Yes,0.0
SHP-0222,South,Road,Standard,474.3,34.0,42.3,6.05,2362.0,Yes,0.0
SHP-0223,East,Road,Express,557.9,26.4,28.3,5.6,2723.0,Yes,0.0
SHP-0224,West,Air,Standard,581.1,21.8,20.3,1.99,5446.0,Yes,0.0
SHP-0225,South,Road,Standard,63.3,24.9,22.1,3.26,1030.0,Yes,0.0
SHP-0226,West,Road,Express,761.8,12.5,20.1,6.13,3108.0,Yes,0.0
SHP-0227,North,Road,Standard,168.7,32.2,59.2,3.54,500.0,Yes,0.0
SHP-0228,East,Road,Standard,762.4,10.9,9.0,7.4,2514.0,No,0.64
SHP-0229,East,Road,Express,802.5,31.8,58.8,8.41,3685.0,No,7.96
SHP-0230,North,Road,Standard,203.6,38.6,53.7,5.6,2217.0,Yes,0.0
SHP-0231,North,Road,Standard,229.2,22.6,32.8,5.22,1719.0,Yes,0.0
SHP-0232,South,Road,Standard,654.8,18.2,28.0,6.25,2081.0,Yes,0.0
SHP-0233,West,Road,Standard,341.0,25.0,38.3,3.66,1749.0,Yes,0.0
SHP-0234,East,Road,Standard,870.3,5.0,8.4,6.51,1956.0,Yes,0.0
SHP-0235,West,Road,Standard,1009.0,23.7,29.8,8.64,3481.0,No,0.57
SHP-0236,West,Rail,Standard,207.9,18.9,24.8,5.7,1427.0,Yes,0.0
SHP-0237,South,Road,Standard,264.4,19.5,20.6,4.29,2076.0,Yes,0.0
SHP-0238,West,Road,Standard,460.1,29.6,23.2,5.45,2230.0,Yes,0.0
SHP-0239,North,Road,Standard,103.3,19.3,28.5,3.4,725.0,Yes,0.0
SHP-0240,North,Road,Standard,133.6,10.7,7.4,3.39,583.0,Yes,0.0
SHP-0241,West,Road,Express,246.3,18.6,18.5,3.91,1694.0,Yes,0.0
SHP-0242,West,Road,Standard,1207.9,20.8,16.0,7.78,4871.0,No,4.0
SHP-0243,North,Air,Standard,501.6,21.4,19.0,1.66,4768.0,Yes,0.0
SHP-0244,East,Road,Standard,291.0,22.0,31.8,4.68,2419.0,No,0.5
SHP-0245,East,Road,Standard,228.1,35.6,51.1,5.42,2463.0,Yes,0.0
SHP-0246,West,Road,Standard,202.2,11.1,13.0,4.4,500.0,Yes,0.0
SHP-0247,East,Road,Standard,304.0,22.1,16.9,5.19,1295.0,No,1.99
SHP-0248,South,Road,Standard,293.6,40.8,48.7,5.38,2048.0,Yes,0.0
SHP-0249,South,Rail,Express,378.0,7.7,8.4,6.28,1593.0,Yes,0.0
SHP-0250,South,Rail,Express,573.3,22.2,34.4,7.21,2309.0,Yes,0.0
SHP-0251,East,Road,Standard,413.1,14.6,20.0,6.09,2699.0,Yes,0.0
SHP-0252,West,Road,Standard,677.3,16.4,20.7,6.91,1985.0,No,1.73
SHP-0253,South,Road,Standard,362.0,12.2,15.4,5.08,1545.0,No,2.69
SHP-0254,North,Road,Standard,1053.1,18.3,34.0,7.91,3882.0,No,3.99
SHP-0255,North,Rail,Standard,667.9,55.3,88.2,8.13,3514.0,No,3.69
SHP-0256,West,Road,Express,493.7,10.0,12.7,4.25,2481.0,Yes,0.0
SHP-0257,West,Road,Express,574.4,10.6,13.2,5.79,2269.0,Yes,0.0
SHP-0258,North,Air,Express,309.0,9.8,6.7,1.48,3648.0,Yes,0.0
SHP-0259,North,Road,Standard,374.4,51.9,95.0,5.58,2842.0,No,6.21
SHP-0260,East,Road,Express,365.8,15.6,16.3,4.97,2458.0,Yes,0.0
SHP-0261,North,Rail,Standard,270.4,19.8,19.2,6.66,1115.0,No,3.73
SHP-0262,West,Road,Standard,181.5,16.1,30.6,5.02,1615.0,Yes,0.0
SHP-0263,South,Road,Standard,592.4,11.9,18.5,6.78,2565.0,No,2.02
SHP-0264,North,Road,Express,738.9,17.6,12.5,6.53,3463.0,Yes,0.0
SHP-0265,West,Air,Standard,544.6,77.6,56.5,2.2,7072.0,Yes,0.0
SHP-0266,North,Road,Express,412.4,43.2,29.5,5.63,2854.0,Yes,0.0
SHP-0267,South,Road,Standard,1325.2,12.6,17.6,9.07,4272.0,No,1.62
SHP-0268,North,Road,Express,288.8,28.7,21.2,4.59,2478.0,Yes,0.0
SHP-0269,North,Road,Standard,503.5,12.7,23.1,5.95,1764.0,Yes,0.0
SHP-0270,North,Rail,Standard,800.0,7.6,13.8,9.6,1251.0,No,10.0
SHP-0271,North,Road,Express,215.2,35.2,46.9,3.28,1759.0,No,3.51
SHP-0272,North,Road,Standard,618.7,38.0,54.0,6.71,2454.0,Yes,0.0
SHP-0273,North,Road,Standard,1092.6,35.7,36.2,10.14,3859.0,No,0.5
SHP-0274,East,Rail,Standard,432.7,15.5,11.3,7.55,747.0,Yes,0.0
SHP-0275,East,Road,Standard,477.6,18.3,28.8,6.04,1779.0,No,1.26
SHP-0276,South,Air,Standard,289.8,30.3,23.6,1.58,3512.0,Yes,0.0
SHP-0277,South,Road,Standard,570.6,24.9,18.9,5.63,1723.0,No,1.53
SHP-0278,East,Road,Standard,266.4,16.2,16.8,6.33,1563.0,No,3.39
SHP-0279,West,Rail,Express,417.7,8.2,5.5,6.09,1846.0,Yes,0.0
SHP-0280,West,Air,Standard,168.1,21.4,25.5,1.38,1908.0,Yes,0.0
SHP-0281,North,Road,Standard,79.4,36.4,55.8,2.91,1506.0,Yes,0.0
SHP-0282,North,Air,Standard,325.5,10.4,17.2,1.4,3224.0,Yes,0.0
SHP-0283,North,Road,Standard,322.3,28.5,40.1,3.76,1278.0,No,2.26
SHP-0284,North,Road,Standard,342.4,24.1,41.2,5.59,1225.0,No,1.99
SHP-0285,East,Air,Express,656.4,30.3,35.1,4.09,7560.0,Yes,0.0
SHP-0286,South,Road,Express,750.8,32.4,55.5,5.61,4415.0,Yes,0.0
SHP-0287,North,Rail,Standard,515.8,13.7,17.6,6.66,1502.0,Yes,0.0
SHP-0288,South,Road,Standard,630.2,8.3,7.7,6.9,2375.0,No,2.34
SHP-0289,East,Rail,Standard,271.1,15.0,27.4,6.43,500.0,No,1.24
SHP-0290,North,Road,Standard,232.8,32.8,32.5,5.67,2046.0,No,1.14
SHP-0291,West,Road,Standard,577.3,14.9,10.2,5.81,2344.0,Yes,0.0
SHP-0292,North,Road,Standard,213.5,13.7,13.1,4.15,1550.0,Yes,0.0
SHP-0293,West,Road,Standard,199.2,7.4,8.2,4.43,991.0,Yes,0.0
SHP-0294,North,Road,Standard,1400.0,52.7,57.4,9.75,6197.0,No,0.66
SHP-0295,West,Road,Standard,449.3,31.6,41.3,5.36,2199.0,No,2.84
SHP-0296,West,Road,Standard,322.5,30.7,53.8,4.67,2391.0,Yes,0.0
SHP-0297,West,Road,Standard,300.7,34.2,34.7,4.81,1588.0,No,4.46
SHP-0298,West,Road,Standard,171.0,27.6,35.9,3.5,1523.0,Yes,0.0
SHP-0299,West,Rail,Express,509.5,17.6,18.9,7.38,1576.0,Yes,0.0
SHP-0300,East,Rail,Standard,361.5,18.4,30.8,6.11,851.0,Yes,0.0
SHP-0301,West,Rail,Standard,738.7,15.9,13.4,8.75,2670.0,No,1.6
SHP-0302,North,Road,Standard,587.7,85.6,66.7,6.63,4545.0,Yes,0.0
SHP-0303,East,Air,Express,354.2,27.3,34.9,1.78,4671.0,Yes,0.0
SHP-0304,East,Road,Standard,118.4,15.6,23.2,5.05,500.0,No,0.64
SHP-0305,West,Road,Express,450.0,25.9,42.7,4.68,2891.0,No,1.68
SHP-0306,South,Road,Express,426.6,11.5,16.0,5.52,2033.0,Yes,0.0
SHP-0307,South,Rail,Standard,105.0,45.9,74.3,6.45,1443.0,Yes,0.0
SHP-0308,East,Road,Standard,549.3,14.0,15.9,6.6,2399.0,No,1.4
SHP-0309,South,Road,Standard,209.1,26.5,18.3,5.3,1220.0,No,2.0
SHP-0310,North,Air,Express,760.7,36.1,28.7,2.35,8831.0,No,2.06
SHP-0311,South,Road,Standard,411.5,24.8,17.3,5.05,2397.0,Yes,0.0
SHP-0312,South,Road,Express,295.7,21.2,22.5,3.13,2393.0,Yes,0.0
SHP-0313,North,Air,Standard,487.5,20.2,25.6,2.51,4781.0,No,3.31
